[20:37:04.296] ======================================================================
[20:37:04.296] BTC 5m ARB SCANNER v3
[20:37:04.296] Threshold: YES_buy + NO_buy < $0.990
[20:37:04.296] Poll interval: 100ms
[20:37:04.296] Duration: 5 minutes
[20:37:04.296] ======================================================================
[20:37:04.450] CLOB API latency: 51.3ms (avg of 3)
[20:37:04.450] ⚠️  High latency — you're not co-located. Run from AWS eu-west-1 for <10ms.
[20:37:04.450] 
[20:37:04.450] Scanning... (Ctrl+C to stop)
[20:37:04.450] 
[20:37:04.472] 📊 Bitcoin Up or Down - March 24, 4:35PM-4:40PM ET
[20:37:04.472]    YES: 50479080100328806697...
[20:37:04.472]    NO:  13678910416501368810...
[20:37:04.472] 
[20:37:12.454] 🎯 ARB #3 | T+132s | YES=$0.780 + NO=$0.190 = $0.9700 | spread=$0.0300 | profit@5shares=$0.15 | poll=110ms
[20:37:12.454] 🔄 SELL ARB | YES_sell=$0.810 + NO_sell=$0.200 = $1.0100 | spread=$0.0100
[20:37:12.573]    └─ closed after 119ms
[20:37:12.574] 🔄 SELL ARB | YES_sell=$0.810 + NO_sell=$0.200 = $1.0100 | spread=$0.0100
[20:37:12.725] 🔄 SELL ARB | YES_sell=$0.820 + NO_sell=$0.190 = $1.0100 | spread=$0.0100
[20:37:12.841] 🔄 SELL ARB | YES_sell=$0.820 + NO_sell=$0.190 = $1.0100 | spread=$0.0100
[20:37:12.955] 🔄 SELL ARB | YES_sell=$0.820 + NO_sell=$0.190 = $1.0100 | spread=$0.0100
[20:37:13.076] 🔄 SELL ARB | YES_sell=$0.820 + NO_sell=$0.190 = $1.0100 | spread=$0.0100
[20:37:13.184] 🔄 SELL ARB | YES_sell=$0.810 + NO_sell=$0.200 = $1.0100 | spread=$0.0100
[20:37:13.302] 🔄 SELL ARB | YES_sell=$0.810 + NO_sell=$0.200 = $1.0100 | spread=$0.0100
[20:37:13.414] 🔄 SELL ARB | YES_sell=$0.810 + NO_sell=$0.200 = $1.0100 | spread=$0.0100
